Test ID,Section,Title,Preconditions,Test Data,Steps,Expected Result,Priority,Type,Automation Candidate,Status Coverage
TAC-001,Ticket Creation,Create NEW ticket happy path,User logged in and has access to create ticket,"ticketType=NEW, priority=HIGH, managerEmail valid, description >=10 chars, address valid",Open Create Ticket form; fill mandatory fields; click Submit,Ticket is created successfully and shown in requester list/dashboard with OPEN status,Critical,E2E,Yes,"Raised -> Open"
TAC-002,Ticket Creation,Create REPAIR ticket happy path,User has at least one asset in My Assets,"ticketType=REPAIR, assetId valid, priority=MEDIUM, managerEmail valid, description valid",Open Create Ticket form; select REPAIR; select asset; submit,Ticket is created with OPEN status and linked to selected asset,Critical,E2E,Yes,"Raised -> Open"
TAC-003,Ticket Creation,Required field validation on create,None,"ticketType missing OR priority missing OR managerEmail missing OR description missing",Attempt submit with one required field empty,Inline validation prevents submit and shows correct message,High,Functional,Yes,Validation at Raised
TAC-004,Ticket Creation,Conditional field behavior by ticket type,None,"NEW and REPAIR",Select NEW then REPAIR then NEW again,Asset field shown only for REPAIR and address shown only for NEW,High,UI,Yes,Form state consistency
TAC-005,Ticket Creation,Description length validation,None,"description <10 and >500",Enter invalid description and submit,Validation errors shown for min and max length boundaries,High,Functional,Yes,Data quality for Open tickets
TAC-006,Ticket Creation,Manager email format validation,None,"invalid managerEmail",Enter invalid email and submit,Submit blocked with valid email message,High,Functional,Yes,Approval routing quality
TAC-007,Ticket Creation,Manager approval email trigger after create,Email service configured,"newly raised ticket",Create ticket successfully,Manager receives approval email with ticket number and requester details,Critical,Integration,Partial,Open awaiting approval
TAC-008,Ticket Creation,No duplicate ticket on double click,None,Valid create payload,Click submit repeatedly while request pending,Only one ticket record is created and one ticket number returned,Critical,Functional,Yes,Open deduplication
TAC-009,Ticket Creation,Unauthorized create request handling,Expired or invalid auth token,Valid create payload,Submit ticket with expired session,User gets session-expired flow and ticket is not created,Critical,Security,Yes,Failure before Open
TAC-010,Ticket Creation,Server error handling on create,Backend returns 5xx,Valid create payload,Submit ticket,User sees error feedback and remains on form with no duplicate state,High,Resilience,Yes,Failure before Open
TAC-011,Ticket Approval,Ticket appears in manager pending approval queue,Ticket created with managerEmail set,New OPEN ticket,Manager opens pending approval list,Ticket is visible with correct metadata and actionable controls,Critical,E2E,Partial,Open pending approval
TAC-012,Ticket Approval,Manager approves ticket,Ticket is OPEN and pending manager action,Approval comment optional/required as per rule,Manager clicks Approve,Ticker status transitions to APPROVED (or approved equivalent) and audit entry is created,Critical,E2E,Partial,"Open -> Approved"
TAC-013,Ticket Approval,Manager rejects ticket,Ticket is OPEN and pending manager action,Rejection reason text,Manager clicks Reject and submits reason,Ticket transitions to REJECTED/CLOSED as per configured workflow and requester can view reason,Critical,E2E,Partial,"Open -> Rejected/Closed"
TAC-014,Ticket Approval,Only manager can approve or reject,Ticket pending approval,User role not manager,Non-manager tries approval action,Action is hidden or denied by API with no status change,Critical,Security,Yes,RBAC on Open state
TAC-015,Ticket Approval,Approval idempotency (double approve),Ticket already approved,Approve action repeated,Trigger approve twice (UI/API retry),Second attempt does not create duplicate transitions or notifications,High,Functional,Yes,Approved stability
TAC-016,Ticket Assignment,Post-approval assignment to IT coordinator,Ticket approved and assignment workflow enabled,Assignee user id valid,Assign ticket to IT coordinator/ops lead/IT lead,Status moves to ASSIGNED and assignee is visible in ticket details,High,E2E,Partial,"Approved -> Assign"
TAC-017,Ticket Assignment,Escalation from assigned state,Ticket in ASSIGNED state,Escalation target and reason,Escalate ticket,Ticket moves to ESCALATED path with proper owner/audit trail,Medium,Functional,Partial,"Assign -> Escalated"
TAC-018,Ticket Progress,Move assigned ticket to in progress,Ticket assigned,Status update to IN_PROGRESS,Assigned user starts work and updates status,Ticket transitions to IN_PROGRESS and timeline is recorded,High,Functional,Yes,"Assign -> In Progress"
TAC-019,Ticket Resolution,Resolve ticket after work completion,Ticket in IN_PROGRESS,Resolution summary,Update status to RESOLVED,Ticket transitions to RESOLVED and appears in resolved filter/card,Critical,E2E,Yes,"In Progress -> Resolved"
TAC-020,Allocation,Allocation creation allowed only after approval,Ticket not approved and then approved,Ticket reference id,Try create allocation before and after approval,Before approval blocked; after approval allowed,Critical,Rule Validation,Yes,"Approval gate for Allocation"
TAC-021,Allocation,Role-based allocation permission,Ticket approved,Role matrix (coordinator/ops lead/IT lead/others),Each role attempts allocation creation,Allowed roles succeed; other roles denied,Critical,Security,Yes,Allocation RBAC
TAC-022,Allocation,Create allocation happy path from approved ticket,Approved ticket exists,"asset set, campus, assignee, allocation metadata",Create allocation linked to ticket,Allocation created with ALLOCATED status and ticket-allocation linkage saved,Critical,E2E,Yes,"Approved -> Allocated"
TAC-023,Allocation,Prevent duplicate allocation for same ticket,One active allocation already exists for ticket,Same ticket id,Attempt second active allocation creation,Second active allocation is blocked or flagged per business rule,High,Rule Validation,Partial,Allocated uniqueness
TAC-024,Allocation,Allocation completion transition,Allocation in ALLOCATED state,Completion action,Mark allocation completed,Allocation transitions to ALLOCATION_COMPLETED and ticket can proceed to downstream states,High,Functional,Partial,"Allocated -> Allocation Completed"
TAC-025,Allocation,Allocation visibility in tracking dashboards,Allocation exists linked to ticket,Ticket + allocation ids,Open admin/user tracking views,Allocation status and linked ticket info are visible and consistent,Medium,Reporting,Partial,Cross-module consistency
TAC-026,Consignment,Create consignment from allocation details,Allocation exists and has assets,Allocation id with one or more assets,Create consignment from allocation,Consignment created in DRAFT/PACKED(Ready to dispatch) as per configured state,Critical,E2E,Yes,"Allocation Completed -> Packed/Ready"
TAC-027,Consignment,Multiple consignments from same allocation when allowed,Allocation supports split shipment,Allocation with multiple assets,Create two consignments with asset split,Each consignment maintains unique tracking state and no asset overlap,High,Functional,Partial,Split shipment handling
TAC-028,Consignment,Dispatch consignment happy path,Consignment in draft/ready state,"courierPartner, trackingId, link",Dispatch consignment from actions menu,Consignment transitions to DISPATCHED and dispatch metadata saved,Critical,E2E,Yes,"Packed -> Dispatch"
TAC-029,Consignment,Dispatch validation for missing tracking info,Consignment ready for dispatch,Missing trackingId or courier,Attempt dispatch with incomplete form,Validation blocks dispatch and status remains unchanged,High,Functional,Yes,Dispatch data integrity
TAC-030,Consignment,Track action availability by status,Consignment in draft and dispatched states,trackingId present/absent,Check row actions in list,Track button visible only when dispatched and tracking id valid,Medium,UI,Yes,Status-based actions
TAC-031,Consignment,Delivered transition happy path,Consignment dispatched,Delivery confirmation event,Mark consignment as delivered,Status transitions to DELIVERED and delivery timestamp is recorded,Critical,E2E,Partial,"Dispatch -> Delivered"
TAC-032,Consignment,Non-delivery handling and ticket closure control,Consignment dispatched but not received,Admin decision path,Mark undelivered scenario and perform admin action,Ticket is not auto-closed; explicit admin path controls closure/escalation per rule,High,Rule Validation,Partial,Delivery exception path
TAC-033,Cross Module,End-to-end NEW flow status chain,None,"Raised NEW ticket through delivery",Run full flow: Raised->Open->Approve->Assign->In Progress->Resolved + Allocation->Allocated->Completed + Consignment->Packed->Dispatch->Delivered,All statuses update in correct sequence with valid links and audit records,Critical,E2E,Partial,Full lifecycle
TAC-034,Cross Module,Cross-module data integrity on IDs and references,At least one full lifecycle record exists,Ticket id allocation id consignment id,Verify linkage across details/list views and APIs,Same references are preserved across Ticket Allocation Consignment modules,Critical,Data Integrity,Partial,Relational consistency
TAC-035,Cross Module,Dashboard counters and filters reflect transitions,Seed data across statuses,Multiple tickets allocations consignments,Apply filters and compare counts to API data,Counters and filtered lists remain consistent after each transition,High,Reporting,Yes,Operational monitoring
TAC-036,Cross Module,Audit trail completeness for critical transitions,Audit logging enabled,One record through full journey,Perform approval assignment allocation dispatch delivery actions,Audit contains actor role timestamp old->new status and linked entity id,Critical,Compliance,Partial,Traceability
TAC-037,Cross Module,Notification consistency across stages,Notification/email services enabled,One ticket through approval and dispatch,Trigger create approve dispatch events,Configured users receive expected notifications exactly once,High,Integration,Partial,Communication integrity
TAC-038,Cross Module,Concurrency control on status updates,Two users open same ticket/consignment simultaneously,Competing updates,Submit conflicting status changes at same time,System prevents invalid final state and returns deterministic conflict handling,High,Resilience,Partial,Race condition safety
TAC-039,Cross Module,SLA and overdue behavior for unresolved tickets,SLA rules configured,Ticket kept in open/in progress beyond SLA,Wait or backdate and run SLA job/view,Tickets are marked overdue without corrupting allocation/consignment links,Medium,Functional,Partial,SLA governance
TAC-040,Cross Module,Business-rule clarification checks from open questions,Product owner provides expected outcomes,"auto-close timeout, rejection closure, assignment routing logic",Run targeted checks for each agreed rule,Behavior matches finalized rulebook and documented acceptance criteria,Critical,UAT,No,Policy alignment
